Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Stirling (85975)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Balcatta		12	0.55		1	0.05		5	0.23		26	1.20		2	0.09		713	32.90		12	0.55		2	0.09		101	4.66		18	0.83		0	0.00		15	0.69		0	0.00		39	1.80		146	6.74		984	45.41		90	4.15		1	0.05		2167	91.17		210	8.83		2377	2.90
	Balcatta Central		16	0.52		3	0.10		3	0.10		24	0.78		0	0.00		1133	36.85		22	0.72		7	0.23		118	3.84		36	1.17		6	0.20		23	0.75		0	0.00		30	0.98		145	4.72		1414	45.98		93	3.02		2	0.07		3075	90.63		318	9.37		3393	4.14
	Balcatta East		3	0.72		1	0.24		0	0.00		3	0.72		0	0.00		135	32.45		4	0.96		0	0.00		24	5.77		3	0.72		0	0.00		1	0.24		1	0.24		2	0.48		22	5.29		204	49.04		13	3.13		0	0.00		416	96.07		17	3.93		433	0.53
	Balcatta North		13	0.69		4	0.21		1	0.05		25	1.33		2	0.11		704	37.57		17	0.91		0	0.00		77	4.11		13	0.69		0	0.00		8	0.43		0	0.00		14	0.75		105	5.60		825	44.02		66	3.52		0	0.00		1874	92.45		153	7.55		2027	2.47
	Balga		8	0.34		1	0.04		4	0.17		24	1.01		3	0.13		487	20.45		14	0.59		2	0.08		194	8.14		10	0.42		1	0.04		20	0.84		1	0.04		45	1.89		102	4.28		1355	56.88		108	4.53		3	0.13		2382	95.24		119	4.76		2501	3.05
	Balga North		7	0.41		1	0.06		2	0.12		29	1.70		4	0.23		390	22.82		8	0.47		0	0.00		164	9.60		14	0.82		1	0.06		18	1.05		0	0.00		22	1.29		61	3.57		907	53.07		79	4.62		2	0.12		1709	95.64		78	4.36		1787	2.18
	Carine		9	0.26		6	0.17		3	0.09		35	1.02		1	0.03		1805	52.47		87	2.53		1	0.03		127	3.69		50	1.45		0	0.00		2	0.06		0	0.00		7	0.20		253	7.35		878	25.52		172	5.00		4	0.12		3440	98.01		70	1.99		3510	4.28
	Deanmore		3	0.20		3	0.20		0	0.00		18	1.18		0	0.00		647	42.29		34	2.22		1	0.07		53	3.46		22	1.44		1	0.07		2	0.13		1	0.07		4	0.26		134	8.76		471	30.78		134	8.76		2	0.13		1530	97.39		41	2.61		1571	1.92
	Dianella Heights		9	0.48		4	0.22		1	0.05		11	0.59		2	0.11		957	51.53		25	1.35		0	0.00		53	2.85		15	0.81		2	0.11		3	0.16		0	0.00		6	0.32		126	6.79		575	30.96		66	3.55		2	0.11		1857	95.43		89	4.57		1946	2.37
