Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Swan (78991)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Beckenham		11	0.45		1	0.04		0	0.00		46	1.87		1	0.04		708	28.76		23	0.93		3	0.12		220	8.94		12	0.49		1	0.04		9	0.37		3	0.12		15	0.61		126	5.12		1168	47.44		115	4.67		0	0.00		2462	95.39		119	4.61		2581	3.45
	Belmont		5	0.38		3	0.23		2	0.15		28	2.15		0	0.00		522	40.15		18	1.38		3	0.23		74	5.69		11	0.85		0	0.00		5	0.38		2	0.15		16	1.23		83	6.38		460	35.38		65	5.00		3	0.23		1300	95.52		61	4.48		1361	1.82
	Bentley		7	0.51		3	0.22		1	0.07		29	2.10		2	0.14		456	32.95		15	1.08		0	0.00		80	5.78		13	0.94		4	0.29		7	0.51		2	0.14		18	1.30		89	6.43		602	43.50		53	3.83		3	0.22		1384	92.76		108	7.24		1492	1.99
	Bentley South		3	0.36		1	0.12		1	0.12		10	1.18		0	0.00		218	25.80		9	1.07		2	0.24		31	3.67		6	0.71		0	0.00		3	0.36		2	0.24		10	1.18		63	7.46		444	52.54		40	4.73		2	0.24		845	95.91		36	4.09		881	1.18
	Bentley West		6	0.71		0	0.00		1	0.12		16	1.88		0	0.00		256	30.15		8	0.94		7	0.82		25	2.94		3	0.35		0	0.00		7	0.82		0	0.00		8	0.94		57	6.71		406	47.82		49	5.77		0	0.00		849	94.65		48	5.35		897	1.20
	Cannington		7	0.39		2	0.11		2	0.11		25	1.39		2	0.11		558	31.02		16	0.89		3	0.17		106	5.89		11	0.61		0	0.00		13	0.72		1	0.06		24	1.33		126	7.00		828	46.03		72	4.00		3	0.17		1799	94.73		100	5.27		1899	2.54
	Cannington East		10	0.45		4	0.18		3	0.14		46	2.09		4	0.18		617	28.03		23	1.04		0	0.00		199	9.04		20	0.91		1	0.05		12	0.55		1	0.05		28	1.27		122	5.54		1045	47.48		66	3.00		0	0.00		2201	93.82		145	6.18		2346	3.13
	Carlisle		13	1.03		2	0.16		2	0.16		18	1.42		1	0.08		406	32.04		13	1.03		1	0.08		86	6.79		8	0.63		1	0.08		7	0.55		1	0.08		7	0.55		72	5.68		556	43.88		73	5.76		0	0.00		1267	95.12		65	4.88		1332	1.78
	Cloverdale		2	0.18		0	0.00		2	0.18		6	0.53		1	0.09		299	26.41		14	1.24		2	0.18		92	8.13		12	1.06		2	0.18		3	0.27		0	0.00		10	0.88		73	6.45		576	50.88		38	3.36		0	0.00		1132	94.41		67	5.59		1199	1.60
